Participant,Build,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
P1,A,47.5,32.7,34.9,67.3,49.9,33.7
P2,A,36.2,33.5,46.8,77.8,51.8,32.6
P3,A,45.0,44.4,39.0,77.0,42.2,34.1
P4,A,38.4,31.4,35.9,65.9,63.6,29.6
P5,A,40.6,28.1,44.8,81.6,46.4,19.9
P6,A,43.3,40.2,39.7,70.7,47.0,20.2
P7,A,46.8,38.7,38.9,71.6,55.8,34.9
P8,A,42.5,42.4,35.9,70.1,46.2,27.4
P1,B,66.2,53.4,57.0,50.6,87.8,78.2
P2,B,73.6,59.8,59.7,44.8,78.9,81.8
P3,B,62.0,60.0,60.6,47.0,77.1,71.7
P4,B,61.7,57.1,64.0,47.9,78.4,83.4
P5,B,71.7,64.2,63.7,52.1,81.4,71.0
P6,B,75.5,60.4,63.6,44.5,77.3,80.5
P7,B,74.7,58.8,68.0,46.5,81.1,73.2
P8,B,71.7,62.4,65.1,43.2,83.5,83.9
P1,C,44.9,34.4,44.8,76.4,56.7,34.3
P2,C,52.4,45.3,38.2,78.4,49.3,30.4
P3,C,49.4,37.8,39.6,79.1,58.0,21.2
P4,C,49.4,34.5,51.4,72.2,48.5,33.6
P5,C,47.6,42.2,45.9,73.9,61.0,31.5
P6,C,44.6,35.1,36.9,67.7,56.4,29.3
P7,C,53.7,37.8,49.5,80.2,55.7,38.4
P8,C,49.1,43.3,38.2,79.8,52.6,17.2
